"k","alpha0","alpha1","beta1"
1,0.1,0.4,0.4
1,0.100024742739403,0.399964987597214,0.399779219473315
2,0.099898717534196,0.400483944008202,0.399771242457058
3,0.0999721524476455,0.400148273698746,0.399370158332331
4,0.100003290712766,0.400222261971722,0.399435874112986
5,0.0999731401675979,0.399634124826957,0.39937000217656
6,0.0999676186499872,0.400235132384522,0.399445054640377
7,0.0999694973704824,0.400245370160536,0.39939985718901
8,0.099959985123523,0.400163520483608,0.399445829511763
9,0.0999792374037129,0.399474499001053,0.399365703400958
10,0.100061617004187,0.400292895271994,0.399185768991049
11,0.100032579918573,0.400800220019066,0.399313919426186
12,0.100005953294293,0.400371916994375,0.399192590916502
13,0.0998823927618801,0.400325777799398,0.399170364726704
14,0.0998933238372075,0.400565043211108,0.398869855446201
15,0.0998664188902674,0.400659274956024,0.398900425747269
16,0.0998551257801075,0.400598818885895,0.399069291064459
17,0.0998605437302021,0.400582305646287,0.399006894276878
18,0.0998904008653337,0.400628672305533,0.399011638641523
19,0.0999145071229416,0.400535981991348,0.399000774149852
20,0.0999374257386894,0.400517523295207,0.398937867975511
21,0.0998723436931182,0.400136897407593,0.399007125547565
22,0.0999365370913083,0.400086801043921,0.398955577729543
23,0.0999363705650204,0.400261840881955,0.39889543725878
24,0.0999067887586565,0.400125276952969,0.398747214639809
25,0.0999019675754683,0.400121426992698,0.398337849432108
26,0.0998169523247704,0.40022087663431,0.398298170039792
27,0.099884889772948,0.399891067400821,0.398264266289763
28,0.0999063914255673,0.397904321611554,0.398151914306413
29,0.099894117831771,0.397709036908348,0.398155843437923
30,0.0998991999867785,0.397619439086367,0.398128288889664
31,0.0998767352040813,0.397591808526406,0.398001878649072
32,0.0999597662610223,0.397614206116025,0.398021775608016
33,0.099967393057501,0.397605207012931,0.398051270716298
34,0.0999695386059274,0.397588414286385,0.398069964276186
35,0.0999399800302819,0.397571380379155,0.398110650218836
36,0.0999704857873234,0.397263244525366,0.398207612416141
37,0.100079927721872,0.397167681452172,0.398166822066413
38,0.100049184466863,0.39719276169912,0.3981582265825
39,0.100099243455043,0.396536453425208,0.398113015009931
40,0.100105653986141,0.396062791415681,0.398129175359717
41,0.100092098773696,0.396329322784368,0.398317130888435
42,0.100072625845606,0.396167788341629,0.398362341916418
43,0.100072988199272,0.396175192055815,0.398270278879592
44,0.100089170508243,0.396507673245811,0.398325752875889
45,0.10007974142466,0.397571388623936,0.398227182872326
46,0.100081863047399,0.397592293862482,0.398186686361077
47,0.100081911612459,0.397541463011112,0.39774046211877
48,0.100080641620715,0.397565814439134,0.397743862830867
49,0.100045120552952,0.39794796102972,0.397970384019585
50,0.10009723125766,0.397883812269321,0.39802172808955
51,0.100066535898333,0.397995380039074,0.398016372721655
52,0.100004652821771,0.398025911844659,0.398114803890896
53,0.100015299310849,0.398025718551703,0.398058978806868
54,0.100041640797976,0.398114711546194,0.398248077688612
55,0.100144692676852,0.398054745011149,0.39816397830269
56,0.10021478043011,0.397634624053466,0.398127886697533
57,0.10015584466582,0.397560361004872,0.397917311909025
58,0.100165220554119,0.396892523393873,0.397870485729522
59,0.100206257296157,0.396740986498623,0.397712072000751
60,0.100186043906737,0.397227893573801,0.39775964463595
61,0.100314390962485,0.397235634851412,0.39768276219503
62,0.100281611669613,0.397275326021792,0.397703133683286
63,0.100296112625377,0.397275878930286,0.397769425575729
64,0.100308114363258,0.397001319355186,0.398135744553917
65,0.100353979611885,0.396941928121179,0.39811168711482
66,0.100376341772962,0.396671405070243,0.398139332293909
67,0.100331965442697,0.396568076100357,0.398163897466014
68,0.100268101897881,0.396657519455556,0.398155850107884
69,0.100225799536408,0.396671470715496,0.397911946038437
70,0.100220341718269,0.396323977890376,0.397932560011497
71,0.100271939055739,0.396449082538818,0.397936988479772
72,0.100321251272258,0.395193219569393,0.397999062594612
73,0.100272651045454,0.394554274568319,0.398024086960163
74,0.100250631196401,0.394558366177325,0.398084592535623
75,0.100230179892169,0.394386561903568,0.39792481900146
76,0.100241834524067,0.39440928249026,0.397911960007405
77,0.1002400323764,0.394158888028517,0.398103612394622
78,0.100224486938526,0.394452636025365,0.398108965717666
79,0.100204439062084,0.394694240428791,0.398097604455238
